"DateTime","(deg F) Mean Temperature (CFSR) at Montana, 2010-01-01 to 2019-03-14"
"2012-01-11:12 AM",15.8139
"2012-01-12:12 AM",16.9385
"2012-01-13:12 AM",23.0855
"2012-01-14:12 AM",26.4175
"2012-01-15:12 AM",23.2165
"2012-01-16:12 AM",7.4377
"2012-01-17:12 AM",7.2037
"2012-01-18:12 AM",4.413
"2012-01-19:12 AM",5.6642
"2012-01-20:12 AM",11.5855
"2012-01-21:12 AM",27.0388
"2012-01-22:12 AM",24.3538
"2012-01-23:12 AM",21.2599
"2012-01-24:12 AM",19.6817
"2012-01-25:12 AM",30.2227
"2012-01-26:12 AM",29.8042
"2012-01-27:12 AM",22.5435
"2012-01-28:12 AM",20.9655
"2012-01-29:12 AM",32.437
"2012-01-30:12 AM",34.5049
"2012-01-31:12 AM",31.0663
"2012-02-01:12 AM",29.6919
