"DateTime","(deg F) Mean Temperature (CFSR) at Colorado, 2010-01-01 to 2019-03-14"
"2011-08-19:12 AM",69.2269
"2011-08-20:12 AM",65.5938
"2011-08-21:12 AM",67.5702
"2011-08-22:12 AM",69.829
"2011-08-23:12 AM",72.0871
"2011-08-24:12 AM",71.7053
"2011-08-25:12 AM",69.8189
"2011-08-26:12 AM",69.2388
"2011-08-27:12 AM",69.0044
"2011-08-28:12 AM",70.0286
"2011-08-29:12 AM",65.2203
"2011-08-30:12 AM",66.4365
"2011-08-31:12 AM",68.8087
"2011-09-01:12 AM",70.0074
"2011-09-02:12 AM",66.571
"2011-09-03:12 AM",61.0605
"2011-09-04:12 AM",57.9164
"2011-09-05:12 AM",60.8655
"2011-09-06:12 AM",59.5285
"2011-09-07:12 AM",55.4868
"2011-09-08:12 AM",56.1621
"2011-09-09:12 AM",56.4235
"2011-09-10:12 AM",56.187
"2011-09-11:12 AM",57.8964
"2011-09-12:12 AM",59.65
"2011-09-13:12 AM",58.0084
"2011-09-14:12 AM",51.1248
"2011-09-15:12 AM",48.7454
"2011-09-16:12 AM",51.9681
"2011-09-17:12 AM",53.5244
"2011-09-18:12 AM",53.3241
"2011-09-19:12 AM",57.0133
"2011-09-20:12 AM",55.9846
"2011-09-21:12 AM",51.7447
"2011-09-22:12 AM",53.0809
"2011-09-23:12 AM",57.5899
"2011-09-24:12 AM",61.0034
"2011-09-25:12 AM",60.7429
"2011-09-26:12 AM",61.0209
"2011-09-27:12 AM",60.4647
"2011-09-28:12 AM",61.3567
"2011-09-29:12 AM",57.4887
"2011-09-30:12 AM",55.7911
"2011-10-01:12 AM",58.6578
"2011-10-02:12 AM",59.3253
"2011-10-03:12 AM",58.3833
"2011-10-04:12 AM",56.2552
"2011-10-05:12 AM",53.0487
"2011-10-06:12 AM",49.9309
"2011-10-07:12 AM",42.7995
"2011-10-08:12 AM",38.7059
"2011-10-09:12 AM",37.8747
"2011-10-10:12 AM",40.7525
"2011-10-11:12 AM",45.9109
"2011-10-12:12 AM",46.7973
"2011-10-13:12 AM",47.1133
"2011-10-14:12 AM",48.5773
"2011-10-15:12 AM",52.2493
"2011-10-16:12 AM",52.2421
"2011-10-17:12 AM",44.5006
"2011-10-18:12 AM",38.3506
"2011-10-19:12 AM",39.8883
"2011-10-20:12 AM",43.9632
"2011-10-21:12 AM",46.3824
"2011-10-22:12 AM",46.647
"2011-10-23:12 AM",47.0304
"2011-10-24:12 AM",49.8234
"2011-10-25:12 AM",48.4988
"2011-10-26:12 AM",33.8844
"2011-10-27:12 AM",27.1638
"2011-10-28:12 AM",29.0476
"2011-10-29:12 AM",35.253
"2011-10-30:12 AM",36.4251
"2011-10-31:12 AM",40.6153
"2011-11-01:12 AM",41.1066
"2011-11-02:12 AM",27.0372
"2011-11-03:12 AM",25.8521
"2011-11-04:12 AM",32.7348
"2011-11-05:12 AM",36.7086
"2011-11-06:12 AM",27.1078
"2011-11-07:12 AM",26.2702
"2011-11-08:12 AM",25.8382
"2011-11-09:12 AM",21.8642
"2011-11-10:12 AM",25.8694
"2011-11-11:12 AM",31.0717
"2011-11-12:12 AM",35.4864
"2011-11-13:12 AM",36.6474
"2011-11-14:12 AM",33.2227
"2011-11-15:12 AM",32.9878
"2011-11-16:12 AM",25.4179
"2011-11-17:12 AM",27.34
"2011-11-18:12 AM",35.1891
"2011-11-19:12 AM",33.5719
"2011-11-20:12 AM",28.7145
"2011-11-21:12 AM",30.9961
"2011-11-22:12 AM",33.1009
"2011-11-23:12 AM",35.6691
"2011-11-24:12 AM",37.5948
"2011-11-25:12 AM",37.6063
"2011-11-26:12 AM",25.8231
"2011-11-27:12 AM",27.4815
"2011-11-28:12 AM",35.8939
"2011-11-29:12 AM",32.8003
"2011-11-30:12 AM",34.0446
"2011-12-01:12 AM",27.491
"2011-12-02:12 AM",23.9491
"2011-12-03:12 AM",21.1111
"2011-12-04:12 AM",14.7072
"2011-12-05:12 AM",6.3543
"2011-12-06:12 AM",3.6549
"2011-12-07:12 AM",17.3725
"2011-12-08:12 AM",17.488
"2011-12-09:12 AM",17.1927
"2011-12-10:12 AM",18.025
"2011-12-11:12 AM",21.1505
"2011-12-12:12 AM",22.4701
"2011-12-13:12 AM",26.1725
"2011-12-14:12 AM",26.0307
"2011-12-15:12 AM",20.4642
"2011-12-16:12 AM",18.7974
"2011-12-17:12 AM",21.3494
"2011-12-18:12 AM",26.4033
"2011-12-19:12 AM",25.6669
"2011-12-20:12 AM",21.7015
"2011-12-21:12 AM",22.4202
"2011-12-22:12 AM",17.3212
"2011-12-23:12 AM",9.7749
"2011-12-24:12 AM",14.8154
"2011-12-25:12 AM",17.2791
"2011-12-26:12 AM",21.4342
"2011-12-27:12 AM",21.8448
"2011-12-28:12 AM",25.0349
"2011-12-29:12 AM",33.2593
"2011-12-30:12 AM",33.0156
"2011-12-31:12 AM",30.0106
"2012-01-01:12 AM",22.0809
"2012-01-02:12 AM",24.6196
"2012-01-03:12 AM",32.4144
"2012-01-04:12 AM",29.4816
"2012-01-05:12 AM",32.5519
"2012-01-06:12 AM",31.5241
"2012-01-07:12 AM",27.2496
"2012-01-08:12 AM",21.7395
"2012-01-09:12 AM",22.9746
"2012-01-10:12 AM",27.6235
"2012-01-11:12 AM",22.2966
"2012-01-12:12 AM",13.7266
"2012-01-13:12 AM",19.2715
"2012-01-14:12 AM",25.2216
"2012-01-15:12 AM",29.8195
"2012-01-16:12 AM",28.9085
"2012-01-17:12 AM",14.3542
"2012-01-18:12 AM",22.5984
"2012-01-19:12 AM",33.0379
"2012-01-20:12 AM",34.4271
"2012-01-21:12 AM",33.2116
"2012-01-22:12 AM",30.2311
"2012-01-23:12 AM",24.8626
"2012-01-24:12 AM",27.5927
"2012-01-25:12 AM",25.1721
"2012-01-26:12 AM",30.7436
"2012-01-27:12 AM",28.8518
"2012-01-28:12 AM",20.1587
"2012-01-29:12 AM",26.9872
"2012-01-30:12 AM",32.6331
"2012-01-31:12 AM",30.3843
"2012-02-01:12 AM",29.228
"2012-02-02:12 AM",29.9973
