"DateTime","(deg F) Mean Temperature (CFSR) at Arizona, 2010-01-01 to 2019-03-14"
"2011-12-22:12 AM",42.9861
"2011-12-23:12 AM",42.7798
"2011-12-24:12 AM",47.2887
"2011-12-25:12 AM",50.0767
"2011-12-26:12 AM",52.6224
"2011-12-27:12 AM",54.2278
"2011-12-28:12 AM",57.1627
"2011-12-29:12 AM",60.561
"2011-12-30:12 AM",62.9632
"2011-12-31:12 AM",62.006
"2012-01-01:12 AM",62.5613
"2012-01-02:12 AM",62.4497
"2012-01-03:12 AM",63.2147
"2012-01-04:12 AM",61.9212
"2012-01-05:12 AM",62.5923
"2012-01-06:12 AM",60.9004
"2012-01-07:12 AM",58.0874
"2012-01-08:12 AM",50.9412
"2012-01-09:12 AM",52.9282
"2012-01-10:12 AM",57.18
"2012-01-11:12 AM",55.7573
"2012-01-12:12 AM",52.2118
"2012-01-13:12 AM",55.2227
"2012-01-14:12 AM",58.8666
"2012-01-15:12 AM",55.4794
"2012-01-16:12 AM",51.2508
"2012-01-17:12 AM",52.6235
"2012-01-18:12 AM",56.3045
"2012-01-19:12 AM",60.742
"2012-01-20:12 AM",60.0642
"2012-01-21:12 AM",57.6379
"2012-01-22:12 AM",53.4655
"2012-01-23:12 AM",52.0335
"2012-01-24:12 AM",49.5421
"2012-01-25:12 AM",54.4885
"2012-01-26:12 AM",62.1817
"2012-01-27:12 AM",58.3102
"2012-01-28:12 AM",56.5176
"2012-01-29:12 AM",60.5784
"2012-01-30:12 AM",61.3927
"2012-01-31:12 AM",59.1867
"2012-02-01:12 AM",60.094
"2012-02-02:12 AM",55.0377
