"DateTime","(deg F) Mean Temperature (CFSR) at Michigan, 2010-01-01 to 2019-03-14"
"2012-01-01:12 AM",32.8001
"2012-01-02:12 AM",21.3413
"2012-01-03:12 AM",17.0976
"2012-01-04:12 AM",27.0144
"2012-01-05:12 AM",31.8249
"2012-01-06:12 AM",38.2474
"2012-01-07:12 AM",32.4745
"2012-01-08:12 AM",30.8721
"2012-01-09:12 AM",34.0813
"2012-01-10:12 AM",35.5473
"2012-01-11:12 AM",36.4415
"2012-01-12:12 AM",31.377
"2012-01-13:12 AM",20.5385
"2012-01-14:12 AM",16.0155
"2012-01-15:12 AM",19.9296
"2012-01-16:12 AM",29.2428
"2012-01-17:12 AM",25.9534
"2012-01-18:12 AM",18.2154
"2012-01-19:12 AM",14.8851
"2012-01-20:12 AM",10.8441
"2012-01-21:12 AM",14.2891
"2012-01-22:12 AM",24.4418
"2012-01-23:12 AM",34.785
"2012-01-24:12 AM",25.7799
"2012-01-25:12 AM",28.4799
"2012-01-26:12 AM",31.0681
"2012-01-27:12 AM",31.278
"2012-01-28:12 AM",28.474
"2012-01-29:12 AM",23.5054
"2012-01-30:12 AM",24.0874
"2012-01-31:12 AM",36.5502
"2012-02-01:12 AM",35.1324
"2012-02-02:12 AM",33.9285
