"DateTime","(deg F) Mean Temperature (CFSR) at District of Columbia, 2010-01-01 to 2019-03-14"
"2011-11-20:12 AM",54.7597
"2011-11-21:12 AM",56.1394
"2011-11-22:12 AM",53.3107
"2011-11-23:12 AM",55.0261
"2011-11-24:12 AM",44.0456
"2011-11-25:12 AM",46.3743
"2011-11-26:12 AM",49.3088
"2011-11-27:12 AM",56.6713
"2011-11-28:12 AM",60.3711
"2011-11-29:12 AM",54.4937
"2011-11-30:12 AM",40.8204
"2011-12-01:12 AM",38.2464
"2011-12-02:12 AM",39.4736
"2011-12-03:12 AM",38.4246
"2011-12-04:12 AM",42.0683
"2011-12-05:12 AM",49.9217
"2011-12-06:12 AM",59.4419
"2011-12-07:12 AM",55.9346
"2011-12-08:12 AM",34.7324
"2011-12-09:12 AM",37.6727
"2011-12-10:12 AM",37.049
"2011-12-11:12 AM",32.396
"2011-12-12:12 AM",33.5871
"2011-12-13:12 AM",35.9969
"2011-12-14:12 AM",38.6046
"2011-12-15:12 AM",49.6062
"2011-12-16:12 AM",47.0062
"2011-12-17:12 AM",36.5792
"2011-12-18:12 AM",31.6836
"2011-12-19:12 AM",37.2376
"2011-12-20:12 AM",47.2185
"2011-12-21:12 AM",55.1867
"2011-12-22:12 AM",53.519
"2011-12-23:12 AM",49.4294
"2011-12-24:12 AM",37.886
"2011-12-25:12 AM",36.9815
"2011-12-26:12 AM",37.706
"2011-12-27:12 AM",41.5004
"2011-12-28:12 AM",36.2881
"2011-12-29:12 AM",34.5947
"2011-12-30:12 AM",40.991
"2011-12-31:12 AM",49.2017
"2012-01-01:12 AM",46.5309
"2012-01-02:12 AM",35.1338
"2012-01-03:12 AM",26.9663
"2012-01-04:12 AM",24.8761
"2012-01-05:12 AM",33.0881
"2012-01-06:12 AM",41.4968
"2012-01-07:12 AM",47.853
"2012-01-08:12 AM",41.8496
"2012-01-09:12 AM",35.0699
"2012-01-10:12 AM",35.5554
"2012-01-11:12 AM",39.2756
"2012-01-12:12 AM",48.8098
"2012-01-13:12 AM",35.8831
"2012-01-14:12 AM",29.7491
"2012-01-15:12 AM",26.605
"2012-01-16:12 AM",30.7238
"2012-01-17:12 AM",46.4738
"2012-01-18:12 AM",38.1506
"2012-01-19:12 AM",32.122
"2012-01-20:12 AM",31.9123
"2012-01-21:12 AM",29.1263
"2012-01-22:12 AM",28.6272
"2012-01-23:12 AM",36.657
"2012-01-24:12 AM",44.0393
"2012-01-25:12 AM",39.961
"2012-01-26:12 AM",45.5108
"2012-01-27:12 AM",53.8349
"2012-01-28:12 AM",40.2845
"2012-01-29:12 AM",36.3101
"2012-01-30:12 AM",35.1176
"2012-01-31:12 AM",46.3041
"2012-02-01:12 AM",54.635
