"DateTime","(deg F) Mean Temperature (CFSR) at New Mexico, 2010-01-01 to 2019-03-14"
"2012-01-10:12 AM",33.892
"2012-01-11:12 AM",36.4379
"2012-01-12:12 AM",28.9881
"2012-01-13:12 AM",30.3199
"2012-01-14:12 AM",33.647
"2012-01-15:12 AM",38.3743
"2012-01-16:12 AM",41.7508
"2012-01-17:12 AM",36.6472
"2012-01-18:12 AM",37.5327
"2012-01-19:12 AM",43.6482
"2012-01-20:12 AM",44.2503
"2012-01-21:12 AM",42.8628
"2012-01-22:12 AM",40.4328
"2012-01-23:12 AM",37.0135
"2012-01-24:12 AM",39.331
"2012-01-25:12 AM",36.7912
"2012-01-26:12 AM",39.6563
"2012-01-27:12 AM",41.787
"2012-01-28:12 AM",36.201
"2012-01-29:12 AM",36.3868
"2012-01-30:12 AM",40.1641
"2012-01-31:12 AM",41.6973
"2012-02-01:12 AM",41.4896
"2012-02-02:12 AM",40.6276
